时间,城市,音乐剧,角色,剧院
2024-06-09 20:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-06-18 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-06-26 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-07-16 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-07-22 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-07-24 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-07-30 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-08-01 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-08-17 20:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-08-24 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-09-13 19:30,北京,我，堂吉诃德,阿尔东莎,二七剧场
